pay_date,period_beginning,period_ending,gross_pay,net_pay,regular_hours,federal_income_tax,social_security_tax,medicare_tax,va_state_income_tax
2024-09-18,2024-08-29,2024-09-11,2584.48,0.0,70.75,-92.41,-159.57,-22.04,-100.0
2024-08-21,2024-08-01,2024-08-14,2310.44,0.0,69.75,-106.5,-159.57,-22.04,-100.0
2024-03-20,2024-02-29,2024-03-13,2488.69,0.0,80.0,-31.99,-96.25,-159.57,-22.04
2024-05-15,2024-04-25,2024-05-08,2600.63,0.0,77.0,-33.61,-101.45,-159.57,-22.04
2024-02-07,2024-01-18,2024-01-31,2772.25,0.0,80.0,-36.1,-112.23,-159.57,-22.04
2025-05-14,2025-04-24,2025-05-07,170.9,1611.96,69.0,-63.99,-150.0,-89.07,-22.82
2024-10-30,2024-10-10,2024-10-23,2764.43,677.53,,-12.54,-100.0,-15.87,
2024-02-21,2024-02-01,2024-02-14,2318.02,0.0,73.0,-29.51,-86.63,-159.57,-22.04
2024-03-06,2024-02-15,2024-02-28,2451.38,0.0,78.0,-31.45,-94.15,-159.57,-22.04
2024-07-24,2024-07-04,2024-07-17,2028.54,0.0,57.25,-91.57,-159.57,-22.04,-100.0
2024-04-03,2024-03-14,2024-03-27,2488.69,0.0,73.5,-32.0,-96.25,-159.57,-22.04
2024-04-17,2024-03-28,2024-04-10,2387.95,0.0,64.0,-30.53,-89.47,-159.57,-22.04
2025-06-11,2025-05-22,2025-06-04,408.17,0.0,46.25,-78.41,-150.0,-89.07,-22.82
2024-10-02,2024-09-12,2024-09-25,2721.27,0.0,45.0,-95.15,-159.57,-22.04,-100.0
2024-09-04,2024-08-15,2024-08-28,2450.7,0.0,80.0,-98.3,-159.57,-22.04,-100.0
2025-05-28,2025-05-08,2025-05-21,286.76,1776.72,74.75,-73.47,-150.0,-89.07,-22.82
2025-06-25,2025-06-05,2025-06-18,408.17,0.0,,,,,
2025-04-30,2025-04-10,2025-04-23,65.68,1010.39,38.75,-29.4,-100.0,-46.27,-806.6
2024-05-01,2024-04-11,2024-04-24,2387.95,0.0,61.5,-30.53,-89.47,-159.57,-22.04
2024-07-10,2024-06-20,2024-07-03,1895.68,0.0,80.0,-92.62,-159.57,-22.04,-100.0
2024-08-07,2024-07-18,2024-07-31,2161.16,0.0,72.0,-91.36,-159.57,-22.04,-100.0
